kata;nilai;
ikn;#N/A;
perpindahan;#N/A;
ibukota;#N/A;
mendorong;#N/A;
penurunan;#N/A;
kesenjangan;#N/A;
negaraku;#N/A;
ibukotaku;#N/A;
memindahkan;#N/A;
berarti;#N/A;
mencabut;#N/A;
terbentuknya;#N/A;
nkri;#N/A;
dgn;#N/A;dengan
segerombolan;#N/A;
pengusaha;#N/A;
yg;#N/A;yang
kepentingan;#N/A;
yah;#N/A;
pemerataan;#N/A;
pembangunan;#N/A;
jakarta;#N/A;
setelah;#N/A;
sulawesi;#N/A;
kebijakan;#N/A;
jokowi;#N/A;
pindahkan;#N/A;
dinilai;#N/A;
kemajuan;#N/A;
membawa;#N/A;
pemindahan;#N/A;
iki;#N/A;
minangka;#N/A;
rasakake;#N/A;
bebarengan;#N/A;
tdk;#N/A;
lsgi;#N/A;
didengar;#N/A;
disaat;#N/A;
itulah;#N/A;
lg;#N/A;
sebagai;#N/A;
membutuhkan;#N/A;
pembiayaan;#N/A;
pemerintah;#N/A;
menetapkan;#N/A;
aturan;#N/A;
pendanaan;#N/A;
satunya;#N/A;
melalui;#N/A;
pemimpinnya;#N/A;
mengatasi;#N/A;
wkwkwk;#N/A;
marilah;#N/A;
merupakan;#N/A;
secara;#N/A;
apakabar;#N/A;apa kabar
mehabiskan;#N/A;
hektaran;#N/A;
kalimantan;#N/A;
pindahin;#N/A;
namajalan;#N/A;nama jalan
kepalamu;#N/A;
kebesaran;#N/A;
semakin;#N/A;
dikenal;#N/A;
otorita;#N/A;
memiliki;#N/A;
berhubungan;#N/A;
menjadi;#N/A;
adalah;#N/A;
peningkatan;#N/A;
perekonomian;#N/A;
kesejahteraan;#N/A;
adan;#N/A;
berdampak;#N/A;
khususnya;#N/A;
mengenalkan;#N/A;
mengumumkan;#N/A;
gak;#N/A;enggak
tuh;#N/A;
mrk;#N/A;mereka
br;#N/A;baru
mendominasi;#N/A;
mknye;#N/A;mangkanya
wlw;#N/A;
membumbung;#N/A;
amp;#N/A;
jabatan;#N/A;
berakhir;#N/A;
org;#N/A;orang
tiongkok;#N/A;
temurun;#N/A;
gmn;#N/A;gimana
bs;#N/A;
kite;#N/A;
bedain;#N/A;
skrg;#N/A;sekarang
bekerja;#N/A;
bljr;#N/A;belajar
ud;#N/A;sudah
tmbh;#N/A;tambah
lanjutkan;#N/A;
hilangkan;#N/A;
jawa;#N/A;
sentris;#N/A;
btw;#N/A;
pt;#N/A;
perusahaan;#N/A;
sedayu;#N/A;
aliran;#N/A;
dananya;#N/A;
emng;#N/A;memang
trutama;#N/A;terutama
didaerah;#N/A;
bintaro;#N/A;
pik;#N/A;
nntinya;#N/A;nantinya
rusia;#N/A;
bersedia;#N/A;
membagi;#N/A;
pengalamannya;#N/A;
membangun;#N/A;
perencanaan;#N/A;
berbagai;#N/A;
kajian;#N/A;
mendalam;#N/A;
terkait;#N/A;
lingkungan;#N/A;
semoga;#N/A;
sodara;#N/A;
mempertahankan;#N/A;
serangan;#N/A;
kl;#N/A;
msh;#N/A;masih
masalahnya;#N/A;
berganti;#N/A;
sebanyak;#N/A;
berencana;#N/A;
jajahannya;#N/A;
dri;#N/A;dari
batavia;#N/A;
tp;#N/A;
krna;#N/A;karena
bandunf;#N/A;
mengalami;#N/A;
jd;#N/A;jadi
semangatnusantara;#N/A;
diikuti;#N/A;
sekitarnya;#N/A;
menurutku;#N/A;
melihat;#N/A;
tergantung;#N/A;
dituju;#N/A;
urusan;#N/A;
menamai;#N/A;
ada;#N/A;
tsb;#N/A;tersebut
terpakai;#N/A;
tempatan;#N/A;
maksudnya;#N/A;
gimana;#N/A;
mengakui;#N/A;
jajahan;#N/A;
kerajaan;#N/A;
majapahit;#N/A;
setuju;#N/A;
menggunakan;#N/A;
tersebut;#N/A;
menyatukan;#N/A;
pusatnya;#N/A;
jayalah;#N/A;
negeriku;#N/A;
ditunjuk;#N/A;
joko;#N/A;
widodo;#N/A;
sebenarnya;#N/A;
sukarno;#N/A;
dimana;#N/A;
memilih;#N/A;
palangkaraya;#N/A;
ri;#N/A;
digelar;#N/A;
konsernya;#N/A;
kesannya;#N/A;
ngemis;#N/A;
mmg;#N/A;memang
akui;#N/A;
maksa;#N/A;
seolah;#N/A;
moyangnya;#N/A;
udah;#N/A;
nya;#N/A;
menata;#N/A;
txt;#N/A;
bantuin;#N/A;
bersyukur;#N/A;
terpilih;#N/A;
mendukung;#N/A;
un;#N/A;
gih;#N/A;
gausah;#N/A;
adanya;#N/A;
nantinya;#N/A;
digadang;#N/A;
perkembangan;#N/A;
ekonominya;#N/A;
bedua;#N/A;
adu;#N/A;
egi;#N/A;
anies;#N/A;
samlingnya;#N/A;
simonyet;#N/A;
menghina;#N/A;
ttap;#N/A;
menggantikan;#N/A;
insyaallah;#N/A;
sdm;#N/A;
pembangunannya;#N/A;
ajak;#N/A;
maknya;#N/A;makanya
janga;#N/A;
gegayaan;#N/A;
nanganin;#N/A;
dipindahin;#N/A;
nyerah;#N/A;
penetapan;#N/A;
bangkitkan;#N/A;
umkm;#N/A;
kementerian;#N/A;
atr;#N/A;
bpn;#N/A;
menanggapi;#N/A;
mengenai;#N/A;
pemerintahan;#N/A;
kipp;#N/A;
kelestarian;#N/A;
kebudayaan;#N/A;
dayak;#N/A;
membantu;#N/A;
aslibih;#N/A;
pindahnya;#N/A;
memperkenalkan;#N/A;
kearifan;#N/A;
dilestarikan;#N/A;
termasuk;#N/A;
dipindahnya;#N/A;
perizinannya;#N/A;
ketidaksiapan;#N/A;
proye;#N/A;proyek
pembentukan;#N/A;
dikhawatirkan;#N/A;
mewujudkan;#N/A;
dikeluarkan;#N/A;
ngutang;#N/A;
usulan;#N/A;
inilah;#N/A;
rasakan;#N/A;
bersama;#N/A;
harapan;#N/A;
menganggap;#N/A;
diperdebatkan;#N/A;
melakukan;#N/A;
kaltim;#N/A;
tentunya;#N/A;
pertimbangan;#N/A;
negera;#N/A;
dob;#N/A;
papua;#N/A;
didukung;#N/A;
percepat;#N/A;
pelonggaran;#N/A;
penggunaan;#N/A;
beby;#N/A;
